algo,poiID,eventSignal,timeStarted,prevTime,timeEnded
tweetVol,77,2.631228568361621E-14,1483482600,1483482600,1483483200
tweetVol,35,2.7702958977582348E-5,1483511400,1483511400,1483512000
tweetVol,35,1.7859346863602354E-6,1483599000,1483599000,1483599600
tweetVol,11,0.0,1484296800,1484296800,1484297400
tweetVol,11,0.0,1484300400,1484300400,1484301000
tweetVol,220,1.9872992140790302E-14,1484380200,1484380200,1484380800
tweetVol,135,8.881784197001252E-16,1484482800,1484482800,1484483400
tweetVol,120,1.1102230246251565E-16,1484562600,1484562600,1484563200
tweetVol,121,1.1751266626447432E-11,1484562600,1484562600,1484563200
tweetVol,122,5.551115123125783E-15,1484568600,1484568600,1484569200
tweetVol,62,0.0,1484639400,1484639400,1484640000
tweetVol,120,8.728140432623377E-11,1484650800,1484650800,1484651400
tweetVol,32,0.0,1484651400,1484651400,1484652000
tweetVol,63,0.0,1484826000,1484826000,1484826600
tweetVol,120,1.5973378175715425E-9,1484887200,1484887200,1484887800
tweetVol,65,7.771561172376096E-16,1484964600,1484964600,1484965200
tweetVol,121,1.8495945552921E-8,1485056400,1485056400,1485057000
tweetVol,35,6.681154525178812E-7,1485065400,1485065400,1485066000
tweetVol,235,7.960871961643079E-10,1485118800,1485118800,1485119400
tweetVol,38,1.509425917589624E-11,1485253200,1485253200,1485253800
tweetVol,32,2.2426505097428162E-14,1485259800,1485259800,1485260400
tweetVol,35,1.0182809911385426E-5,1485312600,1485312600,1485313200
tweetVol,35,1.1204865461689195E-5,1485349200,1485349200,1485349800
tweetVol,130,4.93994845029988E-11,1485409800,1485409800,1485410400
tweetVol,121,5.0612137925121203E-8,1485525000,1485525000,1485525600
tweetVol,35,1.2376267601643676E-5,1485574200,1485574200,1485574800
tweetVol,120,4.694754551781699E-8,1485591000,1485591000,1485591600
tweetVol,120,1.333650079260451E-9,1485592800,1485592800,1485593400
tweetVol,120,1.4901542222389708E-9,1485595200,1485595200,1485595800
tweetVol,38,1.8185453143360064E-13,1485636600,1485636600,1485637200
tweetVol,235,8.370790727241229E-10,1485637200,1485637200,1485637800
tweetVol,120,5.540745640075784E-11,1485678000,1485678000,1485678600
tweetVol,120,9.050167149027288E-8,1485681000,1485681000,1485681600
tweetVol,120,1.0500159974835555E-7,1485691800,1485691800,1485692400
tweetVol,121,6.661338147750939E-16,1485692400,1485692400,1485693000
tweetVol,120,3.5611190662976355E-9,1485693600,1485693600,1485694200
tweetVol,120,1.3050754454901892E-7,1485695400,1485695400,1485696000
tweetVol,35,2.900248707859987E-9,1485822000,1485822000,1485822600
