poiID,theme,subTheme,poiName,lat,long,algo,eventSignal,timeStarted,timeEnded,eventID,Expected Outcome,Step1_Only,Step2_Only,Step1_And_Step2,Step3_Only,Step1_And_Step3,Step2_And_Step3,Full_steps
77,Leisure/Recreation,"Outdoor Recreation Facility (Zoo, Golf Course)",Melbourne Zoo,-37.7844449254,144.951371205938,tweetVol,2.631228568361621E-14,1483482600,1483483200,1,NotEvent,MaybeEvent,MaybeEvent,MaybeEvent,,,,MaybeEvent
35,Community Use,Police Station,Victoria Police,-37.8164849024,144.966486801188,tweetVol,2.7702958977582348E-5,1483511400,1483512000,2,NotEvent,MaybeEvent,MaybeEvent,MaybeEvent,,,,MaybeEvent
35,Community Use,Police Station,Victoria Police,-37.8164849024,144.966486801188,tweetVol,1.7859346863602354E-6,1483599000,1483599600,3,NotEvent,NotEvent,MaybeEvent,NotEvent,,,,NotEvent
11,Place of Worship,Church,Welsh Presbyterian Church,-37.8104478768,144.959873260087,tweetVol,0.0,1484296800,1484297400,4,NotEvent,NotEvent,MaybeEvent,NotEvent,,,,NotEvent
11,Place of Worship,Church,Welsh Presbyterian Church,-37.8104478768,144.959873260087,tweetVol,0.0,1484300400,1484301000,5,NotEvent,NotEvent,MaybeEvent,NotEvent,,,,NotEvent
220,Place Of Assembly,Art Gallery/Museum,Royal Exhibition Building,-37.8046026243,144.971521914952,tweetVol,1.9872992140790302E-14,1484380200,1484380800,6,GoodEvent,MaybeEvent,GoodEvent,GoodEvent,,,,GoodEvent
135,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Alexandra Gardens,-37.8206051404,144.971796067365,tweetVol,8.881784197001252E-16,1484482800,1484483400,7,GoodEvent,MaybeEvent,GoodEvent,GoodEvent,,,,GoodEvent
120,Leisure/Recreation,Major Sports & Recreation Facility,Rod Laver Arena,-37.822045612,144.978487173787,tweetVol,1.1102230246251565E-16,1484562600,1484563200,8,GoodEvent,MaybeEvent,MaybeEvent,MaybeEvent,,,,MaybeEvent
121,Leisure/Recreation,Major Sports & Recreation Facility,Melbourne Park,-37.820908597,144.978735802793,tweetVol,1.1751266626447432E-11,1484562600,1484563200,9,GoodEvent,MaybeEvent,MaybeEvent,MaybeEvent,,,,MaybeEvent
122,Leisure/Recreation,Major Sports & Recreation Facility,Margaret Court Arena,-37.8213252087,144.977591098955,tweetVol,5.551115123125783E-15,1484568600,1484569200,10,MaybeEvent,MaybeEvent,MaybeEvent,MaybeEvent,,,,MaybeEvent
62,Place Of Assembly,Theatre Live,Princess Theatre,-37.8107257091,144.9723265962,tweetVol,0.0,1484639400,1484640000,11,GoodEvent,MaybeEvent,MaybeEvent,MaybeEvent,,,,MaybeEvent
120,Leisure/Recreation,Major Sports & Recreation Facility,Rod Laver Arena,-37.822045612,144.978487173787,tweetVol,8.728140432623377E-11,1484650800,1484651400,12,MaybeEvent,MaybeEvent,MaybeEvent,MaybeEvent,,,,MaybeEvent
32,Place of Worship,Church,The Parish of Christ Church South Yarra,-37.8386270534,144.986009385387,tweetVol,0.0,1484651400,1484652000,13,NotEvent,NotEvent,MaybeEvent,NotEvent,,,,NotEvent
63,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Treasury Gardens,-37.8143993576,144.975952335785,tweetVol,0.0,1484826000,1484826600,14,GoodEvent,MaybeEvent,GoodEvent,GoodEvent,,,,GoodEvent
120,Leisure/Recreation,Major Sports & Recreation Facility,Rod Laver Arena,-37.822045612,144.978487173787,tweetVol,1.5973378175715425E-9,1484887200,1484887800,15,MaybeEvent,MaybeEvent,MaybeEvent,MaybeEvent,,,,MaybeEvent
65,Community Use,Public Buildings,State Library Victoria,-37.8099852201,144.964330322397,tweetVol,7.771561172376096E-16,1484964600,1484965200,16,GoodEvent,MaybeEvent,GoodEvent,MaybeEvent,,,,MaybeEvent
121,Leisure/Recreation,Major Sports & Recreation Facility,Melbourne Park,-37.820908597,144.978735802793,tweetVol,1.8495945552921E-8,1485056400,1485057000,17,GoodEvent,MaybeEvent,MaybeEvent,MaybeEvent,,,,MaybeEvent
35,Community Use,Police Station,Victoria Police,-37.8164849024,144.966486801188,tweetVol,6.681154525178812E-7,1485065400,1485066000,18,NotEvent,MaybeEvent,MaybeEvent,MaybeEvent,,,,MaybeEvent
235,Retail,Department Store,Myer,-37.8135911985,144.963855087868,tweetVol,7.960871961643079E-10,1485118800,1485119400,19,GoodEvent,MaybeEvent,GoodEvent,GoodEvent,,,,GoodEvent
38,Community Use,Visitor Centre,Melbourne Visitor Booth,-37.8139525061,144.964425882562,tweetVol,1.509425917589624E-11,1485253200,1485253800,20,NotEvent,NotEvent,GoodEvent,NotEvent,,,,NotEvent
