eventID,poiID,tweetID,text
1,77.0,8.1641257029491098E17,Kids @ Melbourne zoo @ Melbourne Zoo https://t.co/XJ8Q34QMzP
1,77.0,8.164129111743529E17,Penguins @ Melbourne Zoo https://t.co/J2fICOsnyM
1,77.0,8.1641263087324365E17,Giraffes @ Melbourne Zoo https://t.co/VUUCNto2RO
1,77.0,8.1641297204630733E17,Elephants @ Melbourne Zoo https://t.co/XU1DbLmj2e
1,77.0,8.1641311083155046E17,Monkeys 🐒 @ Melbourne Zoo https://t.co/AvqKK006Jb
2,35.0,8.1653374456773018E17,"A view of Princes Bridge @ Melbourne, Australia https://t.co/RDdugAGvpe"
2,35.0,8.1653324372594278E17,"Didn't know we Australianized McDonalds too. #travel #Australia #Melbourne @ Melbourne, Australia https://t.co/lDXc0hj7Uy"
2,35.0,8.1653454563798221E17,Pumped to announce the 8th rider to join our group bree.knoester otherwise known as… https://t.co/yugaAItu6F
2,35.0,8.1653219846773146E17,Just received an e-mail from the Emirates skywards team with a… https://t.co/mXsejZCZuC
2,35.0,8.1653290678072934E17,"He's vandalizing the wall! Should I call the cops? 🤔 #travel #Australia #Melbourne @ Melbourne,… https://t.co/GeDdjZOIyz"
3,35.0,8.1689991909290803E17,"What a ""hot"" welcome ❤ #heatwave #yarrariver  #summertime #friends #sun #melbourne @ Melbourne,… https://t.co/azJFoKVTnc"
3,35.0,8.1690015457375437E17,"Just posted a photo @ Melbourne, Australia https://t.co/bGUS6OpCW4"
3,35.0,8.1690126040201216E17,"Just posted a photo @ Melbourne, Australia https://t.co/WJ5J95xmDN"
3,35.0,8.1690060162788557E17,"Just posted a photo @ Melbourne, Australia https://t.co/swoO2ZA1Ln"
3,35.0,8.1689975654693274E17,"Just posted a photo @ Melbourne, Australia https://t.co/puIOI5o0jo"
3,35.0,8.1690203698993562E17,"Just posted a photo @ Melbourne, Australia https://t.co/6gJHavc23K"
4,11.0,8.1982716729505382E17,FILTH @ The Basement Cafe &amp; Bar https://t.co/Hmym6bdXXV
4,11.0,8.1982785522809651E17,Jess @ The Basement Cafe &amp; Bar https://t.co/6IeAI2a9VG
4,11.0,8.1982831550261248E17,Chris Alcoma @ The Basement Cafe &amp; Bar https://t.co/uZI0F7mBxc
4,11.0,8.1982752415071846E17,FILTH @ The Basement Cafe &amp; Bar https://t.co/4r5rU74kdx
4,11.0,8.1982814525161882E17,Chris Alcoma @ The Basement Cafe &amp; Bar https://t.co/bEp5XYcN8v
4,11.0,8.1982797181288858E17,Jess @ The Basement Cafe &amp; Bar https://t.co/zSgSxNhw48
5,11.0,8.1984361356369101E17,Dan Purdey @ The Basement Cafe &amp; Bar https://t.co/1CToJMFfjO
5,11.0,8.1984313425127424E17,Rohan Gilham @ The Basement Cafe &amp; Bar https://t.co/AZNQJ4xzj8
5,11.0,8.1984342270614323E17,Rohan Gilham @ The Basement Cafe &amp; Bar https://t.co/M7ClzWGDNn
5,11.0,8.1984301388735693E17,Rohan Gilham @ The Basement Cafe &amp; Bar https://t.co/fgmn2fWs6E
5,11.0,8.198437872204841E17,Dan Purdey @ The Basement Cafe &amp; Bar https://t.co/ZgcJ1l2O1B
5,11.0,8.1984327812850893E17,Rohan Gilham @ The Basement Cafe &amp; Bar https://t.co/F5gUxqeLzr
6,220.0,8.2017644365719552E17,Also from Admiral Crawford: this incredible steampunk AT-AT! (Or maybe AT-ACT?) #Brickvention… https://t.co/eBUfQQ6qM5
6,220.0,8.2017786773664154E17,Mixels on tour - complete with backstage craft services! By Debbie Jane Kendall. #Brickvention… https://t.co/HY85Wd7X2g
6,220.0,8.2017709969252352E17,Woah - new favourite: Dungeons &amp; #LEGO by Ookami! #Brickvention #DnD #brickvention2017 @ Royal… https://t.co/DxW3UEF8qk
6,220.0,8.2017861261152256E17,So many #LEGO ships! Pirates was always one of my fave themes. #Brickvention #brickvention2017 @… https://t.co/onbpEZNjP7
6,220.0,8.2017830403239117E17,The Gaze of the Cockatrice by Tim Jones &amp; Dannii Brighton. It's eyes! #Brickvention #LEGO… https://t.co/XkmTiJkykB
7,135.0,8.2060864937870131E17,Happy #midsumma #2017 #Melbourne❤ Celebrating #gayness❤ #LGBTI🌈 #beproud #pride #equality #LOVE❤… https://t.co/QgXm9BiKdc
7,135.0,8.2060765941805875E17,Partey Partey Partey! Happy #midsumma 🌈💋🌈💋🌈💋 #2017 #Melbourne❤ Celebrating 🎉🎊 #gayness❤ #LGBTI🌈… https://t.co/C3lgvHBnwV
7,135.0,8.2060827162293862E17,Tugs tugs tugs #Partey Happy #midsumma #2017 #Melbourne❤ Celebrating #gayness❤ #LGBTI🌈 #beproud… https://t.co/t4q86CTMN3
7,135.0,8.2060809278629478E17,"Today was a brilliant day ❤😍. @ Alexandra Gardens, Melbourne https://t.co/xQZzbPTIPJ"
7,135.0,8.2060678283373363E17,Happy #midsumma 🌈💋🌈💋🌈💋#2017 #Melbourne❤ Celebrating #gayness❤ #LGBTI🌈 #beproud #pride #LOVE❤… https://t.co/NPUJKo1EzZ
8,120.0,8.2094277808344678E17,#rogerfederer #ausopen @ Rod Laver Arena - Australian Open https://t.co/efUYUPkSvh
8,120.0,8.2094276925872538E17,Just posted a photo @ Rod Laver Arena - Australian Open https://t.co/99LuvcVGwX
8,120.0,8.209428235035689E17,What a cheer for #federer at #rodlaverarena #emiratesreturn. excited @ Rod Laver Arena -… https://t.co/fmU1t71CJ5
8,120.0,8.2094284234027827E17,Well done #angiekerber #australianopen #teamangie #melbourne… https://t.co/jz12JDYFPU
8,120.0,8.20942578870784E17,Sssshhhh.... #RogerFederer #ao2017 #ausopen #teampixel #tennis🎾 @ Rod Laver Arena - Australian Open https://t.co/QAWzxn1kMW
8,120.0,8.209421641170944E17,What a cheer for #Federer coming onto #rodlaverarena. Exciting @ Rod Laver Arena - Australian Open https://t.co/WfGLX35Eti
8,120.0,8.2094316697099059E17,"| Little Fluffy Clouds |  
#littlefluffyballs #ausopen #digitaldementia #riseoftheidiots @ Rod… https://t.co/WtO3golc5W"
9,121.0,8.2094187422774067E17,Perfect way to finish a tennis day at the #australianopen. Federer on the big screen and the… https://t.co/XzjlZuLVa7
9,121.0,8.2094140818609357E17,ausopen day1 @kserter3          Loving the night time vibes 🎾👌 @… https://t.co/GppE4FzFwV
9,121.0,8.2094184652433408E17,#aoselfie #kia #sportswhereiam  it's not a summer in Australia without a trip to the Australian… https://t.co/qDwTOqDGtu
9,121.0,8.2094265428850278E17,"Great to close out the night with the 17 Time Grand Slam champion, the Fed-Express taking on the… https://t.co/Df31Pj5J47"
9,121.0,8.2094237635310387E17,And with that we are gone ... great match @ Australian Open https://t.co/DQpZ2dHEMM
