algo,poiID,eventSignal,timeStarted,prevTime,timeEnded
tweetVol,77,4.574118861455645e-14,1483482600,1483482600,1483483200
tweetVol,35,2.7702958977582348e-05,1483511400,1483511400,1483512000
tweetVol,35,1.7859346863602354e-06,1483599000,1483599000,1483599600
tweetVol,11,0.0,1484296800,1484296800,1484297400
tweetVol,11,0.0,1484300400,1484300400,1484301000
tweetVol,220,2.6756374893466273e-14,1484380200,1484380200,1484380800
tweetVol,135,8.881784197001252e-16,1484482800,1484482800,1484483400
tweetVol,120,1.1102230246251565e-16,1484562600,1484562600,1484563200
tweetVol,121,1.1751266626447432e-11,1484562600,1484562600,1484563200
tweetVol,122,5.551115123125783e-15,1484568600,1484568600,1484569200
tweetVol,62,0.0,1484639400,1484639400,1484640000
tweetVol,120,8.728140432623377e-11,1484650800,1484650800,1484651400
tweetVol,32,0.0,1484651400,1484651400,1484652000
tweetVol,63,0.0,1484826000,1484826000,1484826600
tweetVol,120,1.5973378175715425e-09,1484887200,1484887200,1484887800
tweetVol,65,8.881784197001252e-16,1484964600,1484964600,1484965200
tweetVol,121,1.8495945552921e-08,1485056400,1485056400,1485057000
tweetVol,35,6.681154525178812e-07,1485065400,1485065400,1485066000
tweetVol,235,8.124018124888721e-10,1485118800,1485118800,1485119400
tweetVol,38,1.6941337221965114e-11,1485253200,1485253200,1485253800
tweetVol,32,2.6201263381153694e-14,1485259800,1485259800,1485260400
tweetVol,35,1.0182809911385426e-05,1485312600,1485312600,1485313200
tweetVol,130,5.616651588269406e-11,1485409800,1485409800,1485410400
tweetVol,35,1.2376267601643676e-05,1485574200,1485574200,1485574800
tweetVol,120,4.694754551781699e-08,1485591000,1485591000,1485591600
tweetVol,120,1.333650079260451e-09,1485592800,1485593400,1485594000
tweetVol,120,1.4901542222389708e-09,1485595200,1485595200,1485595800
tweetVol,38,2.0372592501871623e-13,1485636600,1485636600,1485637200
tweetVol,235,8.373997051336346e-10,1485637200,1485637200,1485637800
tweetVol,120,5.540745640075784e-11,1485678000,1485678600,1485679200
tweetVol,120,9.050167149027288e-08,1485681000,1485681000,1485681600
tweetVol,120,1.0500159974835555e-07,1485691800,1485692400,1485693000
tweetVol,121,6.661338147750939e-16,1485692400,1485693600,1485694200
tweetVol,120,3.5611190662976355e-09,1485693600,1485694200,1485694800
tweetVol,120,1.2968429963233774e-07,1485695400,1485695400,1485696000
tweetVol,35,2.854398606366715e-09,1485822000,1485822600,1485823200
